State,City,Water Source,Pollutant Type,Pollution Level,pH,Dissolved Oxygen,Temperature,Year,Safe Limit
Odisha,Rourkela,Lake,Plastic Waste,Medium,7.54,4.76,23.6,2021,Yes
Rajasthan,Kota,Groundwater,Cadmium,High,9.16,5.4,25.0,2022,Yes
Delhi,Dwarka,River,Plastic Waste,Severe,7.95,5.19,27.9,2016,Yes
West Bengal,Kolkata,Well,Industrial Waste,Low,7.69,5.4,21.2,2022,Yes
Madhya Pradesh,Ujjain,Canal,Chromium,Medium,7.85,6.71,20.9,2019,No
Uttar Pradesh,Kanpur,River,Plastic Waste,Medium,5.1,7.58,24.2,2018,Yes
Maharashtra,Nagpur,Lake,Industrial Waste,Medium,8.98,4.86,24.5,2015,No
Tamil Nadu,Trichy,Well,Pesticides,High,7.65,3.17,19.2,2018,Yes
Bihar,Patna,Well,Lead,Low,7.38,7.66,17.1,2018,Yes
Rajasthan,Kota,Pond,Plastic Waste,Low,7.42,4.61,30.6,2019,Yes
Haryana,Panipat,Groundwater,Pesticides,Severe,7.05,5.28,22.9,2019,Yes
Karnataka,Hubli,River,Sewage,Medium,6.49,7.0,25.0,2022,Yes
Maharashtra,Pune,Lake,Industrial Waste,Low,6.72,5.5,17.7,2022,No
Assam,Nagaon,Borewell,Sewage,Medium,6.49,4.07,24.2,2018,No
Haryana,Karnal,Well,Mercury,High,6.75,5.0,28.0,2017,No
Assam,Silchar,River,Lead,Low,7.29,7.7,24.7,2021,Yes
Haryana,Karnal,Lake,Fluoride,Medium,7.54,8.41,26.1,2017,No
Uttar Pradesh,Varanasi,Canal,Industrial Waste,Low,6.37,3.07,24.1,2023,Yes
Maharashtra,Nagpur,River,Mercury,Medium,7.66,2.09,25.6,2022,No
Karnataka,Bengaluru,Reservoir,Fluoride,High,6.25,6.49,22.3,2021,Yes
Odisha,Sambalpur,Lake,Plastic Waste,Nan,7.86,5.4,19.5,2018,Yes
Assam,Guwahati,Groundwater,Fluoride,High,5.24,5.23,26.9,2020,Yes
Delhi,Rohini,Pond,Sewage,High,6.84,6.46,28.4,2015,Yes
Assam,Guwahati,Borewell,Arsenic,Severe,6.71,3.08,22.6,2024,Yes
Tamil Nadu,Chennai,Nan,Industrial Waste,Medium,7.37,5.08,31.0,2019,No
Rajasthan,Jodhpur,Pond,Pesticides,Severe,7.16,3.25,22.7,2021,Yes
Rajasthan,Kota,Well,Nitrate,Medium,9.01,6.65,26.5,2017,Yes
Punjab,Nan,Lake,Sewage,Medium,7.57,5.39,16.7,2022,Yes
Karnataka,Bengaluru,Lake,Arsenic,Low,7.36,6.74,22.0,2021,Yes
Madhya Pradesh,Bhopal,Groundwater,Pesticides,Severe,7.9,6.66,12.1,2015,No
Bihar,Patna,Pond,Cadmium,Low,6.1,5.73,22.2,2021,Yes
Tamil Nadu,Trichy,Borewell,Pesticides,High,6.14,4.28,20.1,2024,Yes
Haryana,Nan,Pond,Nitrate,Medium,6.29,3.01,25.5,2021,Yes
Assam,Jorhat,River,Industrial Waste,Severe,5.06,4.83,28.9,2024,No
Delhi,Karol Bagh,Reservoir,Cadmium,High,5.13,5.08,34.7,2016,Yes
Karnataka,Mysuru,Lake,Mercury,High,7.6,6.71,25.9,2024,No
Tamil Nadu,Madurai,Borewell,Pesticides,Low,6.98,4.8,29.6,2024,No
Tamil Nadu,Chennai,Lake,Nitrate,High,6.27,5.41,23.2,2017,Yes
Tamil Nadu,Coimbatore,Canal,Chromium,High,7.88,6.4,24.9,2016,No
Madhya Pradesh,Ujjain,Well,Cadmium,High,7.43,5.9,20.0,2018,No
Kerala,Kochi,Groundwater,Fluoride,Medium,6.52,6.93,17.7,2024,Yes
Odisha,Cuttack,Canal,Chromium,Low,6.18,3.99,23.3,2019,Yes
Karnataka,Mysuru,Reservoir,Industrial Waste,High,7.96,9.71,19.7,2022,Yes
Karnataka,Belgaum,River,Industrial Waste,Low,6.82,5.83,25.7,2020,Yes
Rajasthan,Jaipur,Borewell,Mercury,Severe,8.86,2.98,30.0,2018,No
Assam,Guwahati,Reservoir,Pesticides,Severe,6.99,8.98,25.3,2019,Yes
Maharashtra,Aurangabad,River,Pesticides,Severe,6.31,7.07,24.9,2017,Yes
Punjab,Amritsar,Borewell,Pesticides,Medium,8.5,4.68,21.0,2018,Yes
Gujarat,Vadodara,Groundwater,Chromium,Medium,6.51,4.58,25.4,2023,No
Tamil Nadu,Chennai,Reservoir,Lead,Low,6.64,7.54,32.0,2016,No
Punjab,Patiala,Canal,Lead,Low,5.41,4.46,22.7,2019,No
Punjab,Amritsar,Borewell,Nitrate,High,8.2,4.24,29.7,2020,No
Maharashtra,Mumbai,Pond,Cadmium,Severe,6.73,6.72,20.4,2023,No
Odisha,Cuttack,Well,Industrial Waste,Low,7.87,6.22,29.3,2016,Yes
Uttar Pradesh,Varanasi,Canal,Lead,Medium,7.75,3.47,26.6,2015,No
Uttar Pradesh,Agra,Well,Sewage,High,7.59,5.32,33.2,2023,No
Delhi,Nan,Borewell,Lead,Severe,6.05,6.27,15.5,2016,No
Bihar,Muzaffarpur,Well,Industrial Waste,Low,6.0,5.94,26.5,2021,Yes
Kerala,Kochi,Borewell,Plastic Waste,High,5.62,8.43,22.1,2023,No
Gujarat,Rajkot,Well,Arsenic,Severe,7.02,1.32,27.9,2020,Yes
Bihar,Darbhanga,Well,Chromium,Low,6.65,6.43,20.7,2024,Yes
West Bengal,Kolkata,Lake,Plastic Waste,Medium,6.62,2.52,26.4,2017,Yes
West Bengal,Howrah,River,Nitrate,High,6.44,5.17,21.0,2022,Yes
West Bengal,Kolkata,River,Mercury,High,8.82,7.75,20.1,2015,Yes
Odisha,Berhampur,Groundwater,Sewage,Low,8.85,2.43,20.9,2023,Yes
Punjab,Chandigarh,Groundwater,Lead,Medium,7.51,4.44,31.8,2015,Yes
Karnataka,Belgaum,Canal,Lead,Low,5.43,6.28,26.4,2024,Yes
Rajasthan,Jodhpur,Well,Fluoride,Low,7.47,4.47,23.9,2018,Yes
Kerala,Kollam,Well,Plastic Waste,Medium,5.48,3.48,27.4,2017,No
Delhi,Saket,Borewell,Pesticides,Low,6.85,6.29,19.6,2015,Yes
Tamil Nadu,Madurai,Well,Pesticides,Low,6.89,5.53,25.1,2021,Yes
Tamil Nadu,Coimbatore,River,Lead,Severe,7.15,6.72,23.8,2019,Yes
Gujarat,Bhavnagar,Lake,Mercury,High,6.2,0.5,26.7,2022,Yes
Kerala,Thrissur,Borewell,Nitrate,High,7.29,7.91,14.6,2022,Yes
Haryana,Panipat,Borewell,Arsenic,Medium,8.79,6.86,26.1,2024,Yes
Tamil Nadu,Coimbatore,Reservoir,Cadmium,Medium,7.43,8.17,25.8,2020,No
Assam,Dibrugarh,River,Lead,Medium,6.98,4.11,15.1,2016,Yes
Tamil Nadu,Salem,Reservoir,Fluoride,Severe,6.56,4.87,20.2,2015,Yes
Assam,Silchar,Well,Arsenic,Severe,8.01,7.79,23.1,2024,Yes
Punjab,Ludhiana,Pond,Sewage,Severe,7.9,4.61,16.2,2021,Yes
Rajasthan,Kota,Lake,Mercury,Severe,8.58,5.53,25.1,2019,No
Tamil Nadu,Madurai,Groundwater,Chromium,Medium,6.01,6.29,27.9,2021,Yes
Bihar,Bhagalpur,Well,Nitrate,Severe,4.5,4.05,22.0,2019,Yes
Gujarat,Bhavnagar,Pond,Lead,Medium,8.52,5.77,22.5,2023,No
Punjab,Ludhiana,Borewell,Sewage,Medium,6.1,4.81,25.3,2021,Yes
Uttar Pradesh,Kanpur,River,Plastic Waste,High,7.38,8.4,26.3,2021,No
Maharashtra,Pune,Reservoir,Cadmium,Low,6.1,4.15,16.7,2019,Yes
Assam,Guwahati,Borewell,Mercury,High,6.9,5.34,22.1,2021,Yes
Haryana,Panipat,Pond,Mercury,Severe,8.32,6.31,28.8,2018,No
Tamil Nadu,Trichy,River,Industrial Waste,Severe,7.67,4.98,24.8,2015,No
Madhya Pradesh,Indore,Groundwater,Fluoride,High,7.11,4.73,24.6,2018,No
Kerala,Kollam,River,Plastic Waste,Medium,6.69,5.85,26.7,2017,No
West Bengal,Asansol,Pond,Plastic Waste,Severe,6.69,4.83,17.0,2017,Yes
Odisha,Cuttack,Borewell,Fluoride,High,7.25,1.77,23.5,2020,Yes
Maharashtra,Nashik,Groundwater,Arsenic,Low,5.3,4.69,11.9,2022,Yes
Assam,Nagaon,River,Nitrate,Low,7.18,6.24,31.1,2021,Yes
Assam,Dibrugarh,Canal,Fluoride,High,5.98,4.88,21.1,2023,Yes
Kerala,Kollam,River,Plastic Waste,High,7.48,4.31,24.2,2018,Yes
Karnataka,Mangalore,Well,Plastic Waste,Medium,6.83,5.89,30.4,2017,No
Bihar,Gaya,Canal,Arsenic,Low,8.05,5.09,23.8,2019,No
Odisha,Bhubaneswar,River,Mercury,Severe,6.69,4.15,25.7,2021,Yes
Kerala,Kozhikode,Pond,Cadmium,Medium,7.47,5.32,35.4,2019,No
Karnataka,Belgaum,River,Lead,Medium,5.69,6.04,21.3,2017,Yes
Karnataka,Mangalore,Groundwater,Industrial Waste,High,6.85,4.91,26.0,2023,Yes
Rajasthan,Bikaner,River,Fluoride,Medium,6.28,5.69,12.4,2018,No
Delhi,Saket,Lake,Fluoride,Medium,6.81,8.18,24.7,2022,Yes
Maharashtra,Pune,Groundwater,Lead,Severe,6.34,4.04,25.0,2021,No
Madhya Pradesh,Gwalior,Reservoir,Pesticides,Severe,7.51,7.54,28.8,2021,Yes
Rajasthan,Udaipur,Canal,Plastic Waste,Low,8.7,3.91,20.1,2017,Yes
Rajasthan,Bikaner,Borewell,Pesticides,Medium,7.75,7.81,24.4,2019,No
Madhya Pradesh,Jabalpur,Groundwater,Sewage,Low,6.43,6.28,20.4,2018,Yes
Bihar,Muzaffarpur,Lake,Sewage,High,7.05,6.45,23.6,2022,No
Tamil Nadu,Madurai,Pond,Nitrate,Medium,7.21,2.7,25.7,2021,Yes
Gujarat,Vadodara,Well,Cadmium,Severe,7.17,9.01,29.1,2021,No
Gujarat,Bhavnagar,Borewell,Chromium,Severe,6.69,4.06,23.2,2024,Yes
Punjab,Patiala,Canal,Lead,Severe,7.02,7.71,26.6,2024,Yes
Tamil Nadu,Chennai,Groundwater,Lead,Low,6.53,8.0,22.1,2017,Yes
Haryana,Karnal,Lake,Mercury,High,7.67,5.64,16.0,2024,No
Odisha,Cuttack,Reservoir,Nitrate,High,4.5,3.69,28.7,2021,Yes
Madhya Pradesh,Indore,Groundwater,Nitrate,High,7.42,8.71,22.8,2021,No
Uttar Pradesh,Varanasi,Borewell,Sewage,Medium,5.86,4.1,24.4,2017,Yes
Odisha,Bhubaneswar,Canal,Arsenic,Low,8.11,7.46,27.0,2020,Yes
Bihar,Gaya,River,Sewage,Severe,7.53,7.5,28.1,2020,No
Delhi,Karol Bagh,Pond,Industrial Waste,High,8.43,4.27,28.0,2022,No
Rajasthan,Kota,River,Arsenic,Low,6.07,6.57,21.1,2017,No
Kerala,Kochi,Nan,Cadmium,Severe,7.25,6.59,24.9,2020,Yes
Delhi,Rohini,Well,Pesticides,Severe,6.99,3.94,22.9,2015,Yes
Madhya Pradesh,Jabalpur,Groundwater,Nitrate,Low,6.98,3.7,23.9,2023,Yes
West Bengal,Siliguri,Groundwater,Mercury,Medium,7.17,4.94,24.7,2021,Yes
Maharashtra,Pune,Well,Pesticides,Low,5.59,5.76,28.4,2017,Yes
West Bengal,Kolkata,Canal,Arsenic,Medium,6.84,4.86,29.9,2024,Yes
Bihar,Muzaffarpur,Groundwater,Chromium,High,7.44,2.71,29.4,2021,Yes
Kerala,Kozhikode,Groundwater,Fluoride,Medium,7.36,5.4,20.3,2022,Yes
Maharashtra,Nashik,Groundwater,Pesticides,High,6.79,2.55,22.0,2023,No
Gujarat,Ahmedabad,Well,Mercury,High,5.64,8.16,18.2,2015,No
Karnataka,Mysuru,Well,Lead,Medium,7.03,6.76,17.8,2017,Yes
Gujarat,Rajkot,Borewell,Nitrate,Severe,5.19,6.1,22.6,2023,Yes
Delhi,Karol Bagh,River,Cadmium,Low,7.7,3.62,23.9,2019,Yes
Bihar,Darbhanga,Reservoir,Lead,Low,6.91,6.99,22.9,2023,No
Maharashtra,Pune,Reservoir,Cadmium,High,6.41,1.81,25.9,2020,Yes
Madhya Pradesh,Jabalpur,Canal,Industrial Waste,Severe,6.47,3.53,28.2,2022,No
Punjab,Jalandhar,Canal,Plastic Waste,High,6.99,7.01,19.9,2018,No
Odisha,Cuttack,River,Arsenic,Severe,6.22,6.8,26.2,2019,No
West Bengal,Kolkata,Reservoir,Lead,Severe,7.95,3.35,25.4,2020,Yes
Tamil Nadu,Salem,Pond,Industrial Waste,Medium,6.63,6.74,24.5,2016,Yes
Maharashtra,Pune,Canal,Lead,Medium,6.89,8.22,16.7,2015,No
Karnataka,Bengaluru,Groundwater,Mercury,Medium,7.69,2.72,20.8,2015,Yes
Karnataka,Belgaum,Groundwater,Mercury,Severe,7.83,4.9,21.4,2022,No
Tamil Nadu,Madurai,Groundwater,Industrial Waste,High,6.93,7.51,25.7,2018,Yes
Tamil Nadu,Madurai,Pond,Arsenic,Medium,7.94,3.67,22.9,2023,Yes
West Bengal,Howrah,Well,Fluoride,High,7.28,3.91,24.9,2016,No
Maharashtra,Mumbai,Reservoir,Industrial Waste,Medium,6.41,5.55,23.8,2017,No
Karnataka,Mysuru,Groundwater,Pesticides,Severe,8.35,6.68,23.7,2016,No
Tamil Nadu,Coimbatore,Canal,Nitrate,Severe,5.99,8.27,19.4,2016,Yes
Uttar Pradesh,Varanasi,Well,Nitrate,Severe,7.88,4.92,11.5,2016,No
Punjab,Jalandhar,Borewell,Mercury,High,6.32,4.73,29.7,2023,Yes
Bihar,Bhagalpur,Reservoir,Chromium,Severe,7.36,5.43,25.4,2016,No
Haryana,Faridabad,Lake,Plastic Waste,Severe,7.47,8.51,21.1,2016,No
Karnataka,Mangalore,Reservoir,Arsenic,Medium,6.67,3.99,18.8,2015,Yes
Rajasthan,Kota,Reservoir,Lead,High,7.88,5.5,27.4,2020,No
Haryana,Faridabad,Borewell,Sewage,Low,7.12,5.36,18.0,2023,No
Madhya Pradesh,Bhopal,Groundwater,Plastic Waste,Low,6.82,3.62,26.9,2021,Yes
Gujarat,Vadodara,Lake,Fluoride,Severe,7.64,9.81,34.9,2017,No
Delhi,Rohini,Well,Pesticides,Severe,6.68,4.33,27.7,2022,No
Tamil Nadu,Trichy,Well,Plastic Waste,High,7.92,4.85,28.3,2024,No
West Bengal,Howrah,Borewell,Plastic Waste,Severe,6.27,4.55,17.4,2023,Yes
Bihar,Gaya,Borewell,Nan,Low,6.99,5.92,26.5,2024,Yes
Delhi,Saket,Pond,Fluoride,Low,6.3,4.42,24.0,2015,Yes
Rajasthan,Kota,Pond,Mercury,High,6.86,6.77,28.8,2019,Yes
Tamil Nadu,Madurai,Reservoir,Fluoride,Severe,7.54,4.36,22.8,2024,Yes
Bihar,Bhagalpur,Reservoir,Fluoride,Medium,6.96,6.71,18.4,2022,Yes
Uttar Pradesh,Varanasi,Well,Industrial Waste,High,6.4,3.87,28.0,2018,No
Uttar Pradesh,Lucknow,Groundwater,Nitrate,Severe,5.87,5.11,22.5,2024,No
Uttar Pradesh,Agra,Well,Nitrate,Low,6.56,6.64,24.1,2021,Yes
Haryana,Ambala,River,Pesticides,Medium,5.94,6.34,21.2,2024,No
Maharashtra,Nashik,Borewell,Plastic Waste,High,6.23,4.13,19.1,2023,No
Maharashtra,Nagpur,Borewell,Cadmium,High,7.45,3.74,24.5,2021,Yes
Gujarat,Vadodara,Well,Cadmium,Severe,8.46,5.69,19.5,2021,Yes
Gujarat,Bhavnagar,Lake,Fluoride,Low,6.99,6.93,21.1,2023,No
Odisha,Berhampur,Well,Lead,High,8.35,4.91,22.9,2023,No
Karnataka,Belgaum,Lake,Pesticides,Low,8.07,5.88,29.1,2021,Yes
Assam,Nagaon,Lake,Pesticides,Low,6.11,3.98,30.2,2023,No
West Bengal,Siliguri,Well,Chromium,Severe,7.82,8.33,26.3,2023,No
Kerala,Kochi,Groundwater,Plastic Waste,High,6.43,5.96,28.1,2023,No
Delhi,Rohini,River,Industrial Waste,High,5.83,4.68,24.9,2016,Nan
Delhi,Saket,Lake,Sewage,High,7.33,4.28,17.6,2018,No
Kerala,Thiruvananthapuram,Canal,Industrial Waste,High,7.63,5.93,20.7,2018,No
Delhi,Saket,Borewell,Mercury,Medium,6.91,5.2,24.4,2023,Yes
Nan,Trichy,Reservoir,Fluoride,Severe,7.11,2.49,37.6,2021,No
Maharashtra,Mumbai,Borewell,Chromium,Low,7.02,8.52,25.6,2021,No
Bihar,Bhagalpur,Lake,Lead,High,7.38,4.23,23.7,2021,Yes
Rajasthan,Kota,Borewell,Plastic Waste,High,7.33,4.81,25.0,2017,Yes
Kerala,Kochi,Borewell,Sewage,Low,6.93,4.46,21.6,2016,Yes
Assam,Dibrugarh,Pond,Fluoride,High,6.03,7.98,25.6,2023,No
Uttar Pradesh,Varanasi,Groundwater,Industrial Waste,Low,5.38,4.52,20.1,2015,No
West Bengal,Kolkata,River,Pesticides,Severe,7.65,8.78,23.6,2018,No
Delhi,Saket,Canal,Cadmium,Medium,6.9,4.52,30.3,2018,Yes
Haryana,Gurugram,River,Fluoride,Medium,8.42,6.88,21.7,2021,No
Maharashtra,Pune,Pond,Mercury,Severe,5.97,6.04,20.2,2018,Yes
Assam,Guwahati,Lake,Industrial Waste,Low,6.99,3.85,29.1,2018,No
Karnataka,Bengaluru,Borewell,Arsenic,Medium,4.72,6.73,24.6,2018,No
Madhya Pradesh,Bhopal,Well,Fluoride,Low,7.45,7.43,18.0,2022,Yes
Punjab,Jalandhar,Groundwater,Chromium,Low,8.46,4.11,29.7,2019,No
Assam,Nagaon,Well,Mercury,Medium,6.58,6.12,23.8,2018,No
Uttar Pradesh,Lucknow,Groundwater,Pesticides,Low,6.88,3.12,34.7,2024,No
Rajasthan,Bikaner,Reservoir,Industrial Waste,Severe,6.94,5.94,22.5,2023,Yes
Haryana,Gurugram,Reservoir,Fluoride,Severe,6.95,4.42,20.8,2022,Yes
Punjab,Jalandhar,Canal,Industrial Waste,Severe,7.93,5.93,22.7,2023,Yes
Maharashtra,Mumbai,Groundwater,Sewage,High,6.71,8.73,25.2,2024,Yes
Madhya Pradesh,Ujjain,Lake,Industrial Waste,Medium,7.78,3.36,26.9,2017,No
Karnataka,Mangalore,Lake,Industrial Waste,Severe,7.68,5.05,8.0,2021,No
Madhya Pradesh,Indore,Lake,Fluoride,High,7.93,4.77,28.5,2017,Yes
Tamil Nadu,Madurai,Reservoir,Pesticides,Medium,6.52,3.68,14.2,2020,Yes
Maharashtra,Mumbai,Canal,Nitrate,Medium,6.04,9.32,30.7,2024,Yes
Rajasthan,Jodhpur,Canal,Plastic Waste,High,5.71,3.19,15.9,2024,No
Rajasthan,Kota,Groundwater,Lead,Low,7.03,6.43,19.1,2020,No
Uttar Pradesh,Varanasi,Groundwater,Plastic Waste,High,7.87,5.43,26.5,2018,Yes
Haryana,Gurugram,Lake,Plastic Waste,Medium,7.87,7.73,24.4,2018,Yes
West Bengal,Kolkata,Canal,Cadmium,High,5.92,7.11,28.5,2017,No
Madhya Pradesh,Bhopal,Lake,Fluoride,Low,8.79,5.52,25.9,2022,No
Kerala,Thiruvananthapuram,Canal,Chromium,Medium,8.5,5.54,25.2,2023,Yes
Karnataka,Hubli,Well,Chromium,Low,6.03,6.12,27.1,2016,No
Haryana,Gurugram,Well,Arsenic,Low,4.75,5.86,27.0,2016,Yes
Uttar Pradesh,Varanasi,Pond,Fluoride,Low,6.97,5.92,31.8,2019,Yes
Bihar,Darbhanga,River,Nitrate,Medium,7.45,4.55,20.0,2015,Yes
Gujarat,Vadodara,Groundwater,Mercury,Medium,7.57,7.4,25.8,2022,No
Karnataka,Bengaluru,Borewell,Industrial Waste,Low,6.43,4.48,33.4,2022,No
Maharashtra,Mumbai,River,Industrial Waste,Low,5.67,4.17,30.0,2016,Yes
Assam,Nagaon,Lake,Sewage,Low,7.61,6.05,19.9,2024,No
Assam,Silchar,Canal,Chromium,Severe,7.35,9.99,24.0,2021,Yes
Gujarat,Ahmedabad,Canal,Pesticides,High,8.1,6.11,21.0,2017,No
Madhya Pradesh,Jabalpur,Well,Plastic Waste,High,7.24,7.8,23.2,2016,No
Assam,Guwahati,Well,Fluoride,Severe,6.41,4.94,13.5,2019,Yes
Uttar Pradesh,Agra,Borewell,Mercury,High,6.1,4.9,31.1,2015,No
Madhya Pradesh,Indore,Borewell,Pesticides,High,7.08,4.22,14.9,2023,Yes
Delhi,Karol Bagh,Lake,Mercury,Medium,6.51,8.77,17.7,2024,No
Uttar Pradesh,Kanpur,Lake,Pesticides,Severe,6.77,6.02,25.3,2016,Yes
Madhya Pradesh,Bhopal,Canal,Fluoride,Low,6.13,6.73,29.3,2016,Yes
Bihar,Darbhanga,Groundwater,Fluoride,High,8.88,5.46,23.7,2020,Yes
West Bengal,Asansol,River,Lead,High,7.26,1.91,18.4,2022,Yes
Odisha,Cuttack,Groundwater,Plastic Waste,Severe,7.28,6.96,27.1,2018,No
Odisha,Bhubaneswar,Borewell,Lead,High,6.45,5.85,26.7,2024,No
Uttar Pradesh,Varanasi,River,Plastic Waste,Medium,6.66,6.07,26.9,2018,No
Haryana,Faridabad,Well,Plastic Waste,Medium,7.49,6.61,22.1,2024,Yes
Karnataka,Mangalore,Canal,Nan,High,7.41,0.55,21.5,2018,No
Haryana,Karnal,River,Fluoride,Low,5.95,8.35,22.0,2015,Yes
Tamil Nadu,Trichy,Pond,Lead,High,7.19,3.74,24.8,2016,No
Kerala,Thrissur,Canal,Fluoride,Medium,7.38,6.0,24.0,2023,Yes
Gujarat,Surat,Borewell,Arsenic,Severe,6.97,2.59,22.9,2022,No
Haryana,Panipat,Nan,Arsenic,Severe,7.86,6.45,23.0,2020,Yes
Assam,Guwahati,Well,Plastic Waste,High,6.46,6.57,24.0,2019,No
Haryana,Gurugram,Reservoir,Plastic Waste,Medium,8.99,6.09,19.8,2023,No
Bihar,Nan,Canal,Sewage,Low,8.04,5.19,20.3,2023,Yes
Madhya Pradesh,Jabalpur,Well,Plastic Waste,Severe,7.9,8.57,15.8,2024,No
